,COLLECTION_DATE,FLOODING_DATE,FLOOD_DEPTH,FLOOD_DEPTH_OTHER,FLOOD_FREQUENCY,FLOOD_FREQUENCY_OTHER,PROPERTY_TYPE,AFFECTED_AREA,OTHER_INFORMATION,OBSERVATIONS,AFFECTED_AGRICULTURE,AFFECTED_AGRICULTURE_OTHER,SURVEY_TYPE,MONTH,YEAR,EVENT_TYPE,EVENT_TYPE_OTHER,EVENT_NAME,COUNTY,MUNICIPALITY,SPECIAL_DISTRICT_NAME,FLOOD_PRONE_AREA_ID,AHED_WS_NAME,PHOTO,UNIQUE_ID,geometry
0,2022-11-10T17:00:00+00:00,2022-11-10T17:00:00+00:00,other,1 foot from gate height,sometimes,,Governmental,building_structure,,,,,Public,11,2022,Extreme or Heavy Rainfall with Tidal Flooding,Category 1 Hurricane,2022 Nov Hurricane Nicole,Miami-Dade,MIAMI,,MIAMI,C-5,No,000f3e59-d60e-41f2-9c03-7276066d05d8,POINT (906197.4047991633 527693.3613217399)
1,2008-08-21T07:42:12+00:00,,don't_know,,don't_know,,Residential,road_street,,pia6517.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,PORT ST LUCIE,,ST LUCIE RIVER TIDAL NORTH FORK,TIDAL ST. LUCIE NORTH FORK,Yes,00218d00-9abe-44b5-8c32-ba957c4d208f,POINT (858529.8895700797 1080929.89362599)
2,2022-10-07T10:11:37+00:00,,don't_know,,don't_know,,Residential,don't_know,,220907_Lake_Ajay_Community-02001.jpg,,,Photo Database,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,FELLS COVE AND LAKE AJAY,EAST LAKE TOHOPEKALIGA,Yes,00f1df5c-ccfd-4aab-a255-f7073118ef2d,POINT (584802.5541518293 1459222.171160653)
3,2008-08-19T09:34:42+00:00,,ankle_deep,,don't_know,,Residential,road_street,,pia6369.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,St. Lucie,PORT ST LUCIE,,ST LUCIE RIVER TIDAL NORTH FORK,TIDAL ST. LUCIE NORTH FORK,Yes,010de9e6-3027-4cbb-884a-80b4ba0d57c9,POINT (864684.9048190787 1067469.942199491)
4,2022-10-10T16:00:00+00:00,2022-10-10T16:00:00+00:00,ankle_deep,,don't_know,,Residential,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,NA,,LAKE HART AND MARY JANE,LAKE HART,Yes,02d2921f-5f16-4bba-8887-75975eab4459,POINT (599595.2798156627 1466034.100122072)
5,2008-08-21T08:58:38+00:00,,don't_know,,don't_know,,Agriculture,field_open_natural_area,,pia6630.jpg,,,Photo Database,08,2008,Extreme or Heavy Rainfall,Tropical Storm,2008 Aug Tropical Storm Fay,Okeechobee,NA,,,S191,Yes,034b6522-07df-41c9-aea3-85f079081f83,POINT (696320.2362997457 1099835.324975155)
6,2020-11-09T05:00:00+00:00,2020-11-09T05:00:00+00:00,don't_know,,don't_know,,Residential,don't_know,,"On Friday before the tropical storm, the neighboring waterways were at high levels.   I saw on your website that SFWM was draining the waterways, but the water level was not noticeably lower before the storm. So after watching the destruction of many Broward community homes from major flooding issues, I must ask, why did this happen?   Was Broward not ready, were all the waterways drained properly, what happened?  We have had hurricanes with plenty of water in the past without such flooding and devastation to Broward.  So what was different this time and how will this not occur again? I am not in a flood zone and have not had an issue in 40 years living in this area of Davie. Today is day 2 after the tropical storm, the flood water around our neighborhood had not receded, it is still raining and we are still wondering how this will end?   I am one among many concerned Broward County residents who are asking the same questions. Can you share what is being done to help this flooding issue.",,,Email,11,2020,Extreme or Heavy Rainfall and Storm Surge,Tropical Storm,2020 Nov Tropical Storm Eta,Broward,DAVIE,CENTRAL BROWARD WATER CONTROL DISTRICT,DAVIE,C-11 EAST,No,0379b93a-cf18-4398-9a9e-4a68c62de81c,POINT (891428.5045469962 642609.6081948206)
7,2022-09-28T16:00:00+00:00,2022-09-28T16:00:00+00:00,greater_than_knee_deep,,yes_it_always_floods_here,,Commercial,building_structure,,,,,Public,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Lee,SANIBEL,,SANIBEL,CAPE CORAL COASTAL,No,03d895ee-add2-4a1e-95f5-b5430996fc6e,POINT (324392.7386864126 771657.3235240728)
8,2022-10-02T16:00:00+00:00,2022-10-02T16:00:00+00:00,greater_than_knee_deep,,don't_know,,Mixed_Use,building_structure,,,,,Public,10,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Osceola,NA,,,MARION CREEK,No,045e2b88-0bd8-44f1-b69f-e794cd8bb743,POINT (508816.8973964117 1385857.571499072)
9,2022-09-30T16:00:00+00:00,2022-09-30T16:00:00+00:00,greater_than_knee_deep,,don't_know,,Residential,don't_know,,,,,Public,09,2022,Extreme or Heavy Rainfall and Storm Surge,Category 4 Hurricane,2022 Sept Hurricane Ian,Orange,ORLANDO,,,SHINGLE CREEK,No,046403dc-a8f2-4c12-bff1-56796fb7477c,POINT (523150.934673164 1533170.168605573)
