,GetData,Dbkey,Station,Group,Site,Data Type,Freq,Stat,Recorder,Agency,Sensor,Start Date,End Date,Strata,OpNum,County,Latitude,Longitude,X Coord,Y Coord,Basin,Struct,Sec,Twp,Rng,start_date,end_date
0,,07627,1-7,1-7,1-7,STG,RI,DWR,????,WMD,,01-MAR-1988,18-APR-1998,0,,PAL,263134.254,802019.17,872410.569,797498.613,CA1,,26,45,40,19880301,19980418
1,,07636,1-8C,1-8C,1-8C,STG,RI,DWR,????,WMD,,01-MAR-1988,18-APR-1998,0,,PAL,262956.257,801320.159,910529.389,787817.015,CA1,,35,45,41,19880301,19980418
2,,05400,1-8C,G94C_C,1-8C,STG,DA,MEAN,????,WMD,,15-APR-2000,08-JAN-2003,0,,PAL,262956.257,801320.159,910529.389,787817.015,CA1,,35,45,41,20000415,20030108
3,,07637,1-8T,1-8T,1-8T,STG,RI,DWR,????,WMD,T,01-JAN-1979,18-APR-1998,0,,PAL,262957.257,801337.16,908984.248,787908.662,CA1,,35,45,41,19790101,19980418
4,,07628,1-9,1-9,1-9,STG,RI,DWR,????,WMD,,01-MAR-1988,18-APR-1998,0,,PAL,262735.3,801725.9,888283.713,773456.66,CA1,,,50,40,19880301,19980418
5,,07629,2A-17_B,2A-17,2A-17,STG,RI,DWR,????,WMD,,01-MAR-1988,18-APR-1998,0,,BRO,261712.288,802439.181,849192.001,710351.747,CA2A,,11,48,39,19880301,19980418
6,,IW727,2A-17_B,2A-17,2A-17,STG,BK,INST,????,WMD,,07-OCT-1987,16-FEB-1988,0,,BRO,261712.288,802439.181,849192.001,710351.747,CA2A,,11,48,39,19871007,19880216
7,,05410,2A-17_B,2A-17,2A-17,STG,DA,MEAN,????,WMD,,07-OCT-1987,16-FEB-1988,0,,BRO,261712.288,802439.181,849192.001,710351.747,CA2A,,11,48,39,19871007,19880216
8,,16016,2A-17_B,2A-17,2A-17,STG,DA,MEAN,NA,WMD,,01-JAN-1961,31-DEC-2001,0,,BRO,261712.288,802439.181,849192.001,710351.747,CA2A,,11,48,39,19610101,20011231
9,,07630,2A-19,2A-19,2A-19,STG,RI,DWR,????,WMD,,01-MAR-1988,17-APR-1998,0,,BRO,261656.273,801822.191,883514.914,708906.34,CA2A,,24,48,40,19880301,19980417
10,,IW730,2A-300_B,2A-300,2A300,STG,BK,INST,A71,WMD,,27-JAN-1981,06-JAN-1999,0,,BRO,261446.293,802430.181,850078.462,695614.867,CA2A,,27,48,39,19810127,19990106
11,,J8202,2A-300_B,2A-300_B,2A300,STG,BK,INST,CR10,WMD,,06-JAN-1999,14-AUG-2012,0,,BRO,261446.293,802430.181,850078.462,695614.867,CA2A,,27,48,39,19990106,20120814
12,,05420,2A-300_B,2A-300,2A300,STG,DA,MEAN,A71,WMD,,27-JAN-1981,06-JAN-1999,0,,BRO,261446.293,802430.181,850078.462,695614.867,CA2A,,27,48,39,19810127,19990106
13,,J8201,2A-300_B,2A-300_B,2A300,STG,DA,MEAN,CR10,WMD,,06-JAN-1999,14-AUG-2012,0,,BRO,261446.293,802430.181,850078.462,695614.867,CA2A,,27,48,39,19990106,20120814
14,,MC736,2AS7E,2AS7E,G2AS7E,STG,BK,INST,CR10,WMD,,28-JUN-2000,02-JAN-2013,0,,BRO,261925.923,802451.195,848037.289,723839.507,CA2A,,13,44,35,20000628,20130102
15,,MC727,2AS7E,2AS7E,G2AS7E,STG,DA,MEAN,CR10,WMD,,28-JUN-2000,02-JAN-2013,0,,BRO,261925.923,802451.195,848037.289,723839.507,CA2A,,13,44,35,20000628,20130102
16,,04147,2B-T1,2B-T1,2B-T1,STG,BK,INST,????,WMD,,31-AUG-1985,22-JAN-2013,0,,BRO,260746.309,802158.179,864125.007,653276.071,CA2B,,5,50,40,19850831,20130122
